"id","original_value","standardized_value"
98,"Instruction in Art for Both Children and Adults (40% or More Children)","art_instruction"
55,"Direct Food Sales to Businesses","food"
83,"Hair Services","hair_care"
57,"Distribution of Tobacco Product Samples to The General Public","tobacco"
75,"Fitness Classes","gym"
76,"Fitness Training On and Off Premise","gym"
25,"Buying and Reselling of Used Cell Phones","used_cell_phones"
16,"Automatic Food Vending Machine Business","food"
26,"Buying and Reselling of Used Children's Products","used_childrens_products"
11,"Animal Exhibition (30 Days or More)","animal_exhibition"
27,"Buying and Reselling of Used Goods - Non Valuable","used_goods"
28,"Buying and Reselling of Used Goods - Valuable Objects","used_goods"
29,"Buying and Reselling of Used Valuable Objects","used_goods"
84,"Hair, Nail, and Skin Care Services","beauty_salon"
22,"Body Piercing","beauty_salon"
63,"Electrical Equipment, Appliances and Components","electronics_store"
13,"Art Design","art"
14,"Artist Work / Live Space","art"
10,"Animal Care Facility","animal_care"
23,"Business Consulting","business_consulting"
12,"Animal Shelter Cafe Permit","animal_care"
36,"Children's Activities Facilities","child_care"
45,"Computer Design/Development Consulting","computer_consulting"
44,"Computer Automated Design (Home Occ)","computer_automated_design"
71,"Fence Installation, Brick Patios, Retaining Walls, Cement Work In Residential Properties","construction"
48,"Consumption of Liquor on Premises - Lakefront Venue","bar"
49,"Consumption of Liquor on Premises - Riverwalk Venue","bar"
50,"Consumption of Liquor on Premises, Not for Profit","bar"
34,"Catering of Liquor From a Business Not Located In Chicago","liquor_catering"
78,"Food Manufacturing","food"
72,"Financial Services","finance"
1,"1 Yr Multiple - Special Event Food","food"
74,"Financial and Accounting Services","finance"
32,"Car Wash","car_wash"
61,"Dry Cleaning - Drop Off Location","laundry"
5,"Accounting Services (Tax Preparation, Bookkeeping)","accounting"
64,"Electronic Equipment Repair","electrician"
67,"Engine Repairs, Service and Installation of Transmissions, Audio and/or Alarm Systems","car_repair"
52,"Deli, Butcher or Bakery","bakery"
85,"Hand Car Wash","car_wash"
86,"Health Club","gym"
94,"Household Goods / Appliance Repair","home_goods_store"
20,"Board Up Services for Commercial Locations","board_up_services"
56,"Disc Jockey, Magician or Musician (Home Occ)","home"
62,"Dry Cleaning - Plant On Premises","laundry"
2,"180 Day Multiple - Special Event Food","food"
3,"180 Day Multiple - Special Event Food, Mobile Food Vehicle","food"
80,"General Medical and Surgical Hospitals","hospital"
7,"Administrative Commercial Office","administrative_office"
38,"Combination (Special)- Street Performer and Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers","art"
18,"Bed and Breakfast Establishment, Owner-Occupied, 11 or Fewer Sleeping Rooms Available for Rent for Transient Occupancy by Registered Guests","accommodation"
93,"Hotel - 7 or More Sleeping Rooms","accommodation"
9,"After School Program / Tutoring Children Under 18 Years of Age","child_care"
53,"Demolition / Wrecking","demolition"
6,"Acquisition and Improvement of Land/Residential Buildings","land_acquisition"
39,"Combination - Street Performer and Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers","art"
46,"Computer and Electronic Products Manufacturing","electronics_manufacturing"
15,"Assisted Living Establishment","assisted_living"
54,"Diagnostic Imaging Centers","medical"
66,"Employee of a Wrecking/Demolitio/Fireworks Contractor (Cert. of Fitness)","demolition"
37,"Clothing Alterations","clothing_store"
33,"Carpet Cleaning Services","home"
40,"Commercial Construction","construction"
41,"Commercial Janitorial Services","janitorial_services"
42,"Commercial Landscaping Services","landscaping_services"
51,"Debt Collecting - Administrative Commercial Office","debt_collecting"
87,"Heating, Ventilation and Air Conditioning Services - Commercial","air_conditioning"
30,"Cable or Satellite Installation - Commercial Properties","cable_satellite"
21,"Board Up Services for Residential Locations","board_up_services"
88,"Heating, Ventilation and Air Conditioning Services - Residential","air_conditioning"
31,"Cable or Satellite Installation - Residential Properties","cable_satellite"
8,"Advertising and Marketing Office","advertising"
82,"Graphic Design and Consultation","art"
70,"Exterminator / Pest Control Services","pest_control"
60,"Drug, Chemical, Paint Factory","manufacturing"
58,"Distribution, Placing, Leasing or Sales of Automatic Amusement Devices","amusement"
95,"Immigration Services","immigration_services"
65,"Employee of Expediter Service","expediter_services"
69,"Excavation Services","excavation"
43,"Commissioned Staffing of Professional, Secretarial and Clerical Work","staffing"
19,"Bicycle Messenger Service","bicycle_messenger"
97,"Industrial Private Event Venue","event_venue"
35,"Catering of Liquor To Events","liquor_catering"
24,"Business and Management Consulting","business_consulting"
165,"Preparation and Sale of Food (ONLY) from a Mobile Food Truck (Mobile Food Preparer)","meal_takeaway"
141,"Nail Services","nail_care"
181,"Provide Dog Walking Services","animal_care"
105,"Instruction in Music for Both Children and Adults (Less Than 40% Children)","instructions"
143,"Non-Human Food / Pet Food","animal_care"
149,"Operate a Pet Shop / Sales of Animals","animal_care"
180,"Provide Chair Massage - Fully Clothed/No Disrobing","health"
